APN,STRNBR,STRDIRECT,STRNAME,STRAPART,STRFRACT,BLDSQFTTAXABLE
016 141000101,3101,,BENVENUE AVE,,,1055
016 141001501,6432,,BENVENUE AVE,,,0
016 141001801,6414,,BENVENUE AVE,,,0
016 141002201,2607,,ALCATRAZ AVE,,,837
016 141003200,6420,,BENVENUE AVE,COM,,0
016 141404300,2400,,WOOLSEY ST,,,1000
016 141404400,2412,,WOOLSEY ST,,,169
016 141404600,2418,,WOOLSEY ST,,,450
016 141404800,2420,,WOOLSEY ST,,,500
016 141405000,3100,,COLBY ST,,,0
016 142202000,6699,,TELEGRAPH AVE,,,5964
016 142202200,2320,,WOOLSEY ST,,,0
016 142202400,2314,,WOOLSEY ST,,,0
016 142202600,2312,,WOOLSEY ST,,,0
016 142202800,2308,,WOOLSEY ST,VACNT,,0
016 142203000,2304,,WOOLSEY ST,,,0
016 142203200,2300,,WOOLSEY ST,,,0
016 142505700,6618,,SHATTUCK AVE,,,0
016 142800202,3208,,SHATTUCK AVE,,,1198
048A707200500,6400,,MYSTIC ST,,,990
048A707200800,6368,,MYSTIC ST,,,575
048A707200900,6364,,MYSTIC ST,,,335
048A707201200,6300,,CLAREMONT AVE,,,0
048A707501500,6451,,MYSTIC ST,,,0
048H760703800,256,,ALVARADO RD,,,1460
048H760704200,290,,ALVARADO RD,,,0
048H766303700,617,,ALVARADO RD,,,0
048H766303800,111,,ALVARADO RD,,,0
048H767002600,41,,TUNNEL RD,,,0
048H767002902,0,,TUNNEL RD,,,0
048H767003100,59,,ALVARADO RD,,,0
048H768000102,3,,TANGLEWOOD RD,,,4447
048H768000201,5,,TANGLEWOOD RD,,,3499
048H768001400,19,,TANGLEWOOD RD,,,2802
048H768001700,97,,STONEWALL RD,,,0
048H768001900,11,,TANGLEWOOD RD,,,3688
048H768002700,29,,TANGLEWOOD RD,,,0
048H768003100,7,,TANGLEWOOD RD,,,3684
048H768003201,25,,TANGLEWOOD RD,,,4545
048H769000300,2951,,DERBY ST,,,125813
048H769000400,1,,TANGLEWOOD RD,,,0
049 151200101,1318,,SIXTY-SEVENTH ST,PARKG,,0
049 151200302,1462,,SIXTY-SEVENTH ST,,,0
049 151200601,1482,,SIXTY-SEVENTH ST,,,1350
052 136400100,1908,,ALCATRAZ AVE,,,7772
052 136400200,1916,,ALCATRAZ AVE,,,1269
052 136400300,1918,,ALCATRAZ AVE,,,4789
052 136400500,1926,,ALCATRAZ AVE,,,3153
052 140900101,3200,,COLLEGE AVE,,,12449
052 140900300,3212,,COLLEGE AVE,,,5770
052 141000200,3100,,COLLEGE AVE,,,15569
052 141001200,3148,,COLLEGE AVE,,,2583
052 141001402,3158,,COLLEGE AVE,,,3772
052 141001601,3170,,COLLEGE AVE,,,11582
052 141001800,2638,,WOOLSEY ST,,,3004
052 141002001,3110,,COLLEGE AVE,,,14340
052 141002201,3118,,COLLEGE AVE,,,5404
052 141002400,3122,,COLLEGE AVE,,,1586
052 141002600,3126,,COLLEGE AVE,,,9675
052 141002800,3128,,COLLEGE AVE,,,6040
052 141003000,3132,,COLLEGE AVE,,,3395
052 141003200,3136,,COLLEGE AVE,,,4659
052 141003400,3140,,COLLEGE AVE,,,4758
052 141003600,3144,,COLLEGE AVE,,,3274
052 141003700,3154,,COLLEGE AVE,1,,994
052 141003800,3154,,COLLEGE AVE,2,,994
052 141003900,3154,,COLLEGE AVE,3,,993
052 141004000,3154,,COLLEGE AVE,4,,993
052 141004100,3154,,COLLEGE AVE,COM,,0
052 142100101,3201,,TELEGRAPH AVE,,,1431
052 142300300,3200,,DEAKIN ST,,,1385
052 142501100,2116,,WOOLSEY ST,,,1616
052 142501200,2114,,WOOLSEY ST,,,1760
052 142501300,2112,,WOOLSEY ST,,,1616
052 142501500,3201,,SHATTUCK AVE,,,6700
052 142501601,2200,,WOOLSEY ST,,,1592
052 142501901,2150,,WOOLSEY ST,,,1020
052 142502000,2146,,WOOLSEY ST,,,1258
052 142502200,2144,,WOOLSEY ST,,,3032
052 142502401,2140,,WOOLSEY ST,,,3580
052 142502600,2138,,WOOLSEY ST,,,1367
052 142502800,2130,,WOOLSEY ST,,,3194
052 142503000,2126,,WOOLSEY ST,,,3406
052 142503200,2122,,WOOLSEY ST,,,2934
052 142503400,2118,,WOOLSEY ST,,,2488
052 142503600,3207,,SHATTUCK AVE,,,3667
052 142800400,2028,,WOOLSEY ST,,,1539
052 142800500,3200,,SHATTUCK AVE,,,3940
052 142800600,3202,,SHATTUCK AVE,,,2256
052 142800800,2022,,WOOLSEY ST,,,2190
052 142801000,2024,,WOOLSEY ST,,,2028
052 142801201,2026,,WOOLSEY ST,,,2148
052 142900100,2000,,WOOLSEY ST,,,2402
052 142900200,2004,,WOOLSEY ST,,,1943
052 142900300,2008,,WOOLSEY ST,,,1662
052 142900400,0,,WOOLSEY ST,,,0
052 142900500,2014,,WOOLSEY ST,,,2115
052 143300200,1828,,SIXTY-SECOND ST,,,2268
052 143300300,1826,,SIXTY-SECOND ST,,,1772
052 143300400,1824,,SIXTY-SECOND ST,,,2598
052 143300500,1822,,SIXTY-SECOND ST,,,3709
052 143300600,1820,,SIXTY-SECOND ST,,,2294
052 143300700,1818,,SIXTY-SECOND ST,,,3650
052 143300800,1816,,SIXTY-SECOND ST,,,2132
052 143300900,1814,,SIXTY-SECOND ST,,,4720
052 143301000,1812,,SIXTY-SECOND ST,,,1800
052 143301100,3363,,M L KING JR WAY,,,4947
052 143301200,3353,,M L KING JR WAY,,,2785
052 143301300,1804,,SIXTY-SECOND ST,,,6627
052 143301400,1806,,SIXTY-SECOND ST,,,2708
052 143301600,1844,,SIXTY-SECOND ST,,,2932
052 143400300,3411,,ADELINE ST,,,3772
052 143400400,3407,,ADELINE ST,,,4928
052 143400500,3401,,ADELINE ST,,,0
052 143400808,1728,,SIXTY-SECOND ST,,,5278
052 143500102,3404,,KING ST,,,4777
052 143500103,1640,,SIXTY-SECOND ST,,,3171
052 143500201,1638,,SIXTY-SECOND ST,,,2978
052 143500300,1636,,SIXTY-SECOND ST,,,2259
052 143500400,1634,,SIXTY-SECOND ST,,,4254
052 143500500,1630,,SIXTY-SECOND ST,,,4950
052 143500600,1626,,SIXTY-SECOND ST,,,2960
052 143500700,1622,,SIXTY-SECOND ST,,,2554
052 143500800,1618,,SIXTY-SECOND ST,,,1420
052 143500900,1614,,SIXTY-SECOND ST,,,5074
052 143501000,1610,,SIXTY-SECOND ST,,,4451
052 143501100,1608,,SIXTY-SECOND ST,,,5523
052 143501200,3409,,CALIFORNIA ST,,,1678
052 143501300,1600,,SIXTY-SECOND ST,,,1694
052 143600101,3400,,CALIFORNIA ST,,,2640
052 143600102,3408,,CALIFORNIA ST,,,2320
052 143600200,1536,,SIXTY-SECOND ST,,,1885
052 143700100,1538,,SIXTY-THIRD ST,,,5411
052 143700200,3324,,CALIFORNIA ST,,,832
052 143700300,3330,,CALIFORNIA ST,,,2680
052 143700400,3334,,CALIFORNIA ST,,,4040
052 143700500,3342,,CALIFORNIA ST,,,3996
052 143800100,3302,,CALIFORNIA ST,,,4396
052 143800200,3308,,CALIFORNIA ST,,,2386
052 143800300,3320,,CALIFORNIA ST,,,1910
052 143800400,1537,,SIXTY-THIRD ST,,,2374
052 143801500,1552,,ALCATRAZ AVE,,,2337
052 143801700,3301,,SACRAMENTO ST,,,3876
052 143801900,1504,,ALCATRAZ AVE,,,2144
052 143802100,1514,,ALCATRAZ AVE,,,2255
052 143802300,1516,,ALCATRAZ AVE,,,2069
052 143802500,1518,,ALCATRAZ AVE,,,2034
052 143802700,1520,,ALCATRAZ AVE,,,2608
052 143802900,1522,,ALCATRAZ AVE,,,1159
052 143803100,1524,,ALCATRAZ AVE,,,1136
052 143803300,1526,,ALCATRAZ AVE,,,2015
052 143803500,1528,,ALCATRAZ AVE,,,2636
052 143901100,1410,,ALCATRAZ AVE,,,2228
052 143901200,1408,,ALCATRAZ AVE,,,2228
052 143901300,1400,,ALCATRAZ AVE,,,3347
052 143901400,0,,ALCATRAZ AVE,,,0
052 143901500,1444,,ALCATRAZ AVE,,,2438
052 143901700,1438,,ALCATRAZ AVE,,,2004
052 143901900,1424,,ALCATRAZ AVE,,,1868
052 143902100,1422,,ALCATRAZ AVE,,,1534
052 143902300,1420,,ALCATRAZ AVE,,,3450
052 143902500,1418,,ALCATRAZ AVE,,,2432
052 143902700,1416,,ALCATRAZ AVE,,,2364
052 143902900,1414,,ALCATRAZ AVE,,,1192
052 143903200,1412,,ALCATRAZ AVE,,,2349
052 144501401,1332,,ALCATRAZ AVE,,,2780
052 144501601,1330,,ALCATRAZ AVE,,,2862
052 144501800,1328,,ALCATRAZ AVE,,,2138
052 144502000,1324,,ALCATRAZ AVE,,,2378
052 144502200,1322,,ALCATRAZ AVE,,,1266
052 144502400,1314,,ALCATRAZ AVE,,,1248
052 144502600,1312,,ALCATRAZ AVE,,,1936
052 144502800,1310,,ALCATRAZ AVE,,,1655
052 144503000,1308,,ALCATRAZ AVE,,,1358
052 144503201,1306,,ALCATRAZ AVE,,,1958
052 144503401,1304,,ALCATRAZ AVE,,,2464
052 144503600,1300,,ALCATRAZ AVE,,,2420
052 144600500,3302,,IDAHO ST,,,1806
052 144600700,1274,,ALCATRAZ AVE,,,2235
052 144600900,1270,,ALCATRAZ AVE,,,2856
052 144601100,1268,,ALCATRAZ AVE,,,2837
052 144800101,1268,,SIXTY-FIFTH ST,,,1976
052 144800201,1272,,SIXTY-FIFTH ST,,,1604
052 144800300,1276,,SIXTY-FIFTH ST,,,1650
052 144800400,3228,,IDAHO ST,,,3266
052 144800500,3232,,IDAHO ST,,,1615
052 144800600,3236,,IDAHO ST,,,940
052 144800700,3240,,IDAHO ST,,,1082
052 144800800,3242,,IDAHO ST,,,840
052 144800900,3244,,IDAHO ST,,,921
052 144801000,3246,,IDAHO ST,,,1102
052 144801100,1279,,ALCATRAZ AVE,,,4196
052 144801200,1275,,ALCATRAZ AVE,,,2600
052 144801300,1273,,ALCATRAZ AVE,,,3425
052 144801500,1269,,ALCATRAZ AVE,,,1343
052 145200100,1310,,SIXTY-SIXTH ST,,,1676
052 145200200,1279,,SIXTY-FIFTH ST,,,1912
052 145200300,1275,,SIXTY-FIFTH ST,,,953
052 145200400,1271,,SIXTY-FIFTH ST,,,2175
052 145200500,1267,,SIXTY-FIFTH ST,,,2284
052 145201100,1226,,SIXTY-SIXTH ST,,,2994
052 145201200,1230,,SIXTY-SIXTH ST,,,2392
052 145201300,1308,,SIXTY-SIXTH ST,,,1803
052 145201500,1214,,SIXTY-SIXTH ST,,,1060
052 145201701,1216,,SIXTY-SIXTH ST,,,1730
052 145201901,1220,,SIXTY-SIXTH ST,,,1192
052 145202300,1222,,SIXTY-SIXTH ST,,,1794
052 145202400,1224,,SIXTY-SIXTH ST,,,1921
052 145202500,1222,,SIXTY-SIXTH ST,COM,,0
052 145400100,1256,,SIXTY-SEVENTH ST,,,2877
052 145400500,1219,,SIXTY-SIXTH ST,,,2490
052 145400600,1215,,SIXTY-SIXTH ST,,,1340
052 145400800,1254,,SIXTY-SEVENTH ST,,,1100
052 145401001,3126,,MABEL ST,,,1427
052 145401200,3134,,MABEL ST,,,1432
052 145401400,3140,,MABEL ST,,,1332
052 145401600,1060,,SIXTY-SIXTH ST,,,2404
052 151200103,3100,,SAN PABLO AVE,,,263450
052 151200900,940,,FOLGER AVE,,,0
052 151201001,930,,FOLGER AVE,,,0
052 151201002,920,,FOLGER AVE,,,0
052 151300301,910,,FOLGER AVE,,,24077
052 151300400,0,,FOLGER AVE,,,0
052 151300500,900,,FOLGER AVE,,,0
052 151300601,840,,FOLGER AVE,,,0
052 151301001,830,,FOLGER AVE,,,22871
052 151301101,824,,FOLGER AVE,,,0
052 151301102,820,,FOLGER AVE,,,4696
052 151301103,816,,FOLGER AVE,,,5625
052 151301200,3045,,HOLLIS ST,,,6550
052 151400201,754,,FOLGER AVE,,,17010
052 151400301,746,,FOLGER AVE,,,24077
052 151400402,742,,FOLGER AVE,,,5142
052 151400403,742,,FOLGER AVE,,,0
052 151400601,712,,FOLGER AVE,,,12257
052 151400701,708,,FOLGER AVE,,,29003
052 151400800,700,,FOLGER AVE,,,0
052 151500101,3131,,SAN PABLO AVE,,,3624
052 151500102,3131,,SAN PABLO AVE,,,3642
052 151500200,3101,,SAN PABLO AVE,,,2775
052 151501700,1252,,HASKELL ST,,,1487
052 151501800,3104,,MABEL ST,,,1904
052 151501900,3108,,MABEL ST,,,1162
052 151502002,3116,,MABEL ST,,,2355
052 151502200,1202,,HASKELL ST,,,2661
052 151502400,1206,,HASKELL ST,,,1327
052 151502600,1216,,HASKELL ST,,,2133
052 151502801,1218,,HASKELL ST,,,2832
052 151503000,1220,,HASKELL ST,,,2715
052 151503200,1224,,HASKELL ST,,,2586
052 151503400,1226,,HASKELL ST,,,2468
052 151503600,1228,,HASKELL ST,,,872
052 151503801,1234,,HASKELL ST,,,1767
052 151504000,1236,,HASKELL ST,,,4589
052 151504200,1238,,HASKELL ST,,,2734
052 151504400,1240,,HASKELL ST,,,2542
052 151504600,1248,,HASKELL ST,,,1907
052 151504800,1250,,HASKELL ST,,,818
052 151505000,3112,,MABEL ST,,,1422
052 151600100,1346,,HASKELL ST,,,1068
052 151600200,3104,,ACTON ST,,,1335
052 151600300,3106,,ACTON ST,,,2071
052 151600400,3108,,ACTON ST,,,1668
052 151600500,3112,,ACTON ST,,,1072
052 151600600,3116,,ACTON ST,,,1526
052 151600700,1343,,SIXTY-SEVENTH ST,,,1295
052 151600800,1335,,SIXTY-SEVENTH ST,,,927
052 151600900,1333,,SIXTY-SEVENTH ST,,,1038
052 151601000,1331,,SIXTY-SEVENTH ST,,,1768
052 151601100,1329,,SIXTY-SEVENTH ST,,,930
052 151601200,1327,,SIXTY-SEVENTH ST,,,973
052 151601300,1323,,SIXTY-SEVENTH ST,,,1691
052 151601400,1321,,SIXTY-SEVENTH ST,,,1774
052 151601500,1317,,SIXTY-SEVENTH ST,,,1999
052 151601600,1315,,SIXTY-SEVENTH ST,,,1235
052 151601700,1311,,SIXTY-SEVENTH ST,,,952
052 151601800,1309,,SIXTY-SEVENTH ST,,,1182
052 151601901,1305,,SIXTY-SEVENTH ST,,,1424
052 151601902,1301,,SIXTY-SEVENTH ST,,,1845
052 151602003,3115,,MABEL ST,,,955
052 151602200,3101,,MABEL ST,,,8448
052 151602300,1306,,HASKELL ST,,,2971
052 151602501,1312,,HASKELL ST,,,1950
052 151602900,1324,,HASKELL ST,,,1285
052 151603000,1328,,HASKELL ST,,,1307
052 151603100,1330,,HASKELL ST,,,1440
052 151603200,1340,,HASKELL ST,,,1878
052 151603300,1342,,HASKELL ST,,,2357
052 151603400,1314,,HASKELL ST,A,,935
052 151603500,1314,,HASKELL ST,B,,720
052 151603600,1314,,HASKELL ST,C,,954
052 151603700,1314,,HASKELL ST,COM,,0
052 151603800,1314,,HASKELL ST,VACNT,,0
052 151603900,1320,,HASKELL ST,B,,950
052 151604000,1320,,HASKELL ST,A,,933
052 151604100,1322,,HASKELL ST,A,,550
052 151604200,1322,,HASKELL ST,B,,555
052 151604300,1322,,HASKELL ST,C,,1125
052 151604400,1320,,HASKELL ST,COM,,0
052 151604600,1310,,HASKELL ST,A,,1726
052 151604700,1310,,HASKELL ST,B,,1527
052 151604800,1310,,HASKELL ST,C,,1640
052 151604900,1310,,HASKELL ST,COM,,0
052 151700100,1344,,SIXTY-SEVENTH ST,,,3134
052 151700200,1347,,SIXTY-SIXTH ST,,,2233
052 151700300,1341,,SIXTY-SIXTH ST,,,2467
052 151700400,1337,,SIXTY-SIXTH ST,,,1176
052 151700500,1333,,SIXTY-SIXTH ST,,,1176
052 151700700,1325,,SIXTY-SIXTH ST,,,1796
052 151700800,1321,,SIXTY-SIXTH ST,,,1074
052 151700900,1319,,SIXTY-SIXTH ST,,,2493
052 151701000,1317,,SIXTY-SIXTH ST,,,2404
052 151701100,1315,,SIXTY-SIXTH ST,,,1956
052 151701200,1311,,SIXTY-SIXTH ST,,,1855
052 151701300,1309,,SIXTY-SIXTH ST,,,1671
052 151701400,1307,,SIXTY-SIXTH ST,,,1176
052 151701500,1305,,SIXTY-SIXTH ST,,,2238
052 151701600,1303,,SIXTY-SIXTH ST,,,968
052 151701700,3135,,MABEL ST,,,2008
052 151701800,3131,,MABEL ST,,,871
052 151701901,3127,,MABEL ST,,,2371
052 151702001,3121,,MABEL ST,,,1429
052 151702100,1308,,SIXTY-SEVENTH ST,,,1212
052 151702200,1312,,SIXTY-SEVENTH ST,,,1140
052 151702300,1314,,SIXTY-SEVENTH ST,,,1176
052 151702400,1318,,SIXTY-SEVENTH ST,,,1176
052 151702500,1320,,SIXTY-SEVENTH ST,,,1176
052 151702600,1324,,SIXTY-SEVENTH ST,,,2168
052 151702700,1326,,SIXTY-SEVENTH ST,,,1236
052 151702800,1328,,SIXTY-SEVENTH ST,,,1176
052 151702900,1332,,SIXTY-SEVENTH ST,,,1376
052 151703000,1334,,SIXTY-SEVENTH ST,,,1176
052 151703100,1338,,SIXTY-SEVENTH ST,,,1300
052 151703200,1340,,SIXTY-SEVENTH ST,,,1363
052 151703400,1329,,SIXTY-SIXTH ST,A,,1090
052 151703500,1329,,SIXTY-SIXTH ST,B,,745
052 151703600,1329,,SIXTY-SIXTH ST,C,,1245
052 151703700,1329,,SIXTY-SIXTH ST,COM,,0
052 151800100,3252,,BAKER ST,,,969
052 151800200,3258,,BAKER ST,,,969
052 151800300,3264,,BAKER ST,,,965
052 151800400,3270,,BAKER ST,,,1419
052 151800500,1335,,ALCATRAZ AVE,,,2768
052 151800600,1331,,ALCATRAZ AVE,,,2284
052 151800700,1329,,ALCATRAZ AVE,,,1300
052 151800800,1325,,ALCATRAZ AVE,,,1997
052 151800900,1321,,ALCATRAZ AVE,,,3674
052 151801000,1317,,ALCATRAZ AVE,,,2512
052 151801100,1315,,ALCATRAZ AVE,,,2295
052 151801200,1311,,ALCATRAZ AVE,,,2164
052 151801300,1307,,ALCATRAZ AVE,,,2346
052 151801400,1305,,ALCATRAZ AVE,,,1575
052 151801500,1303,,ALCATRAZ AVE,,,1340
052 151801600,1301,,ALCATRAZ AVE,,,2207
052 151801700,3251,,IDAHO ST,,,2066
052 151801800,3247,,IDAHO ST,,,2764
052 151801900,3245,,IDAHO ST,,,1444
052 151802000,3239,,IDAHO ST,,,860
052 151802100,1304,,HARMON ST,,,987
052 151802200,1306,,HARMON ST,,,1175
052 151802300,1310,,HARMON ST,,,1029
052 151802400,1314,,HARMON ST,,,870
052 151802500,1316,,HARMON ST,,,2672
052 151802600,1322,,HARMON ST,,,1272
052 151802700,1326,,HARMON ST,,,1870
052 151802800,1330,,HARMON ST,,,2725
052 151802900,1332,,HARMON ST,,,2281
052 151900100,3224,,SACRAMENTO ST,,,2661
052 151900202,3240,,SACRAMENTO ST,,,12003
052 151900203,1417,,ALCATRAZ AVE,,,3051
052 151900800,1423,,ALCATRAZ AVE,,,4867
052 151901000,1415,,ALCATRAZ AVE,,,1774
052 151901100,1413,,ALCATRAZ AVE,,,2719
052 151901200,1409,,ALCATRAZ AVE,,,2509
052 151901300,1405,,ALCATRAZ AVE,,,1775
052 151901400,1403,,ALCATRAZ AVE,,,1728
052 151901500,1401,,ALCATRAZ AVE,,,2221
052 151901600,3239,,BAKER ST,,,2032
052 151901700,3235,,BAKER ST,,,1623
052 151901800,1400,,HARMON ST,,,2958
052 151901900,1404,,HARMON ST,,,1407
052 151902101,1408,,HARMON ST,,,1998
052 151902200,1412,,HARMON ST,,,2642
052 151902401,1420,,HARMON ST,,,917
052 151902402,1424,,HARMON ST,,,1244
052 151902500,1430,,HARMON ST,,,2666
052 151902600,0,,SACRAMENTO ST,,,0
052 151902700,3250,,SACRAMENTO ST,,,25194
052 151902800,1497,,ALCATRAZ AVE,,,25194
052 151902900,1435,,ALCATRAZ AVE,COM,,0
052 151903100,1414,,HARMON ST,A,,886
052 151903200,1414,,HARMON ST,B,,902
052 151903300,1414,,HARMON ST,C,,850
052 151903400,1416,,HARMON ST,A,,1303
052 151903500,1416,,HARMON ST,B,,1303
052 151903600,1418,,HARMON ST,A,,1303
052 151903700,1418,,HARMON ST,B,,1303
052 151903800,1414,,HARMON ST,COM,,0
052 152000100,1538,,HARMON ST,,,2148
052 152000200,3234,,CALIFORNIA ST,,,1552
052 152000300,3242,,CALIFORNIA ST,,,3099
052 152000400,3260,,CALIFORNIA ST,,,3309
052 152000500,1531,,ALCATRAZ AVE,,,8942
052 152000600,1529,,ALCATRAZ AVE,,,3770
052 152000700,1525,,ALCATRAZ AVE,,,6353
052 152000800,1521,,ALCATRAZ AVE,,,4708
052 152000900,1517,,ALCATRAZ AVE,,,2859
052 152001000,1515,,ALCATRAZ AVE,,,1712
052 152001100,1509,,ALCATRAZ AVE,,,1043
052 152001200,3243,,SACRAMENTO ST,,,4035
052 152001300,0,,HARMON ST,,,0
052 152001400,1510,,HARMON ST,,,4541
052 152001500,1514,,HARMON ST,,,5527
052 152001600,1518,,HARMON ST,,,4810
052 152001700,1522,,HARMON ST,,,3284
052 152001800,1526,,HARMON ST,,,5334
052 152001900,1530,,HARMON ST,,,1407
052 152002000,1534,,HARMON ST,,,4672
052 152002100,1536,,HARMON ST,,,3328
052 152100100,1642,,HARMON ST,,,4542
052 152100200,3226,,KING ST,,,2110
052 152100300,3236,,KING ST,,,2508
052 152100400,3240,,KING ST,,,2484
052 152100500,1645,,ALCATRAZ AVE,,,2988
052 152100600,1641,,ALCATRAZ AVE,,,1834
052 152100700,1639,,ALCATRAZ AVE,,,2034
052 152100800,1637,,ALCATRAZ AVE,,,1728
052 152100900,1633,,ALCATRAZ AVE,,,3571
052 152101000,1631,,ALCATRAZ AVE,,,4894
052 152101100,1623,,ALCATRAZ AVE,,,5332
052 152101200,1619,,ALCATRAZ AVE,,,3318
052 152101300,1615,,ALCATRAZ AVE,,,1681
052 152101501,1613,,ALCATRAZ AVE,,,1193
052 152101600,1611,,ALCATRAZ AVE,,,1050
052 152101700,1609,,ALCATRAZ AVE,,,1050
052 152101800,1607,,ALCATRAZ AVE,,,1050
052 152101900,1603,,ALCATRAZ AVE,,,4020
052 152102000,3237,,CALIFORNIA ST,,,3077
052 152102100,3235,,CALIFORNIA ST,,,2548
052 152102200,3233,,CALIFORNIA ST,,,2645
052 152102300,3231,,CALIFORNIA ST,,,1650
052 152102400,1612,,HARMON ST,,,6432
052 152102500,1614,,HARMON ST,,,4168
052 152102600,1616,,HARMON ST,,,1434
052 152102700,1620,,HARMON ST,,,4814
052 152102800,1624,,HARMON ST,,,3211
052 152102900,1628,,HARMON ST,,,3790
052 152103000,1632,,HARMON ST,,,2079
052 152103100,1634,,HARMON ST,,,2308
052 152200200,3320,,KING ST,,,7014
052 152200300,1641,,SIXTY-THIRD ST,,,3616
052 152200400,1639,,SIXTY-THIRD ST,,,4122
052 152200500,1635,,SIXTY-THIRD ST,,,2918
052 152200600,1633,,SIXTY-THIRD ST,,,2742
052 152200700,1627,,SIXTY-THIRD ST,,,2061
052 152200800,1625,,SIXTY-THIRD ST,,,2190
052 152200900,1621,,SIXTY-THIRD ST,,,1938
052 152201000,1617,,SIXTY-THIRD ST,,,1140
052 152201100,1615,,SIXTY-THIRD ST,,,0
052 152201200,1611,,SIXTY-THIRD ST,,,3264
052 152201300,1609,,SIXTY-THIRD ST,,,2570
052 152201400,1605,,SIXTY-THIRD ST,,,2875
052 152201601,1606,,ALCATRAZ AVE,,,6709
052 152201700,1610,,ALCATRAZ AVE,,,3551
052 152201800,1612,,ALCATRAZ AVE,,,1781
052 152201900,1614,,ALCATRAZ AVE,,,2916
052 152202000,1616,,ALCATRAZ AVE,,,3469
052 152202100,1618,,ALCATRAZ AVE,,,2304
052 152202200,1620,,ALCATRAZ AVE,,,1212
052 152202300,1628,,ALCATRAZ AVE,,,3723
052 152202400,1632,,ALCATRAZ AVE,,,2375
052 152202602,1650,,ALCATRAZ AVE,,,4784
052 152202603,1638,,ALCATRAZ AVE,,,2993
052 152202800,1634,,ALCATRAZ AVE,A,,691
052 152202900,1636,,ALCATRAZ AVE,A,,1307
052 152203000,1634,,ALCATRAZ AVE,,,1090
052 152203100,1636,,ALCATRAZ AVE,,,691
052 152203200,1634,,ALCATRAZ AVE,M,,0
052 152300100,3328,,KING ST,,,3003
052 152300200,3332,,KING ST,,,1462
052 152300300,3334,,KING ST,,,2131
052 152300400,3336,,KING ST,,,1799
052 152300501,3360,,KING ST,,,3380
052 152300601,1645,,SIXTY-SECOND ST,,,4184
052 152300700,1641,,SIXTY-SECOND ST,,,3186
052 152300800,1633,,SIXTY-SECOND ST,,,2932
052 152300900,1627,,SIXTY-SECOND ST,,,2258
052 152301000,1625,,SIXTY-SECOND ST,,,1181
052 152301100,1623,,SIXTY-SECOND ST,,,1040
052 152301200,1621,,SIXTY-SECOND ST,,,1134
052 152301300,1619,,SIXTY-SECOND ST,,,1608
052 152301400,1615,,SIXTY-SECOND ST,,,2597
052 152301502,1611,,SIXTY-SECOND ST,,,5788
052 152301601,1601,,SIXTY-SECOND ST,,,2181
052 152301602,3335,,CALIFORNIA ST,,,2423
052 152301700,1600,,SIXTY-THIRD ST,,,5300
052 152301800,1604,,SIXTY-THIRD ST,,,2456
052 152301900,1610,,SIXTY-THIRD ST,,,1916
052 152302000,1612,,SIXTY-THIRD ST,,,3851
052 152302100,1614,,SIXTY-THIRD ST,,,2700
052 152302200,1616,,SIXTY-THIRD ST,,,1803
052 152302300,1618,,SIXTY-THIRD ST,,,2119
052 152302400,1624,,SIXTY-THIRD ST,,,1145
052 152302500,1628,,SIXTY-THIRD ST,,,1234
052 152302600,1630,,SIXTY-THIRD ST,,,1263
052 152302700,1634,,SIXTY-THIRD ST,,,4566
052 152302800,1636,,SIXTY-THIRD ST,,,3042
052 152302900,1640,,SIXTY-THIRD ST,,,1134
052 152303100,1605,,SIXTY-SECOND ST,,,834
052 152303200,1607,,SIXTY-SECOND ST,,,1242
052 152303300,1609,,SIXTY-SECOND ST,,,1044
052 152303400,1609,,SIXTY-SECOND ST,COM,,0
052 152400101,3331,,KING ST,,,2826
052 152400102,1704,,SIXTY-THIRD ST,,,2826
052 152400103,1712,,SIXTY-THIRD ST,,,2631
052 152400104,3337,,KING ST,,,3210
052 152400200,1716,,SIXTY-THIRD ST,,,0
052 152400300,3350,,ADELINE ST,,,8046
052 152400400,3370,,ADELINE ST,,,5172
052 152400501,3380,,ADELINE ST,,,9456
052 152400700,3400,,ADELINE ST,,,1400
052 152400801,3398,,ADELINE ST,,,6050
052 152400900,1705,,SIXTY-SECOND ST,,,3390
052 152401000,1703,,SIXTY-SECOND ST,,,1805
052 152401100,1701,,SIXTY-SECOND ST,,,1652
052 152401200,3341,,KING ST,,,1925
052 152500704,3372,,M L KING JR WAY,,,0
052 152600100,1842,,SIXTY-THIRD ST,,,2854
052 152600200,1833,,SIXTY-SECOND ST,,,1064
052 152600300,1829,,SIXTY-SECOND ST,,,1967
052 152600400,1827,,SIXTY-SECOND ST,,,3555
052 152600500,1825,,SIXTY-SECOND ST,,,1930
052 152600600,1823,,SIXTY-SECOND ST,,,3193
052 152600700,1821,,SIXTY-SECOND ST,,,3292
052 152600800,1819,,SIXTY-SECOND ST,,,2967
052 152600900,1817,,SIXTY-SECOND ST,,,1596
052 152601000,1815,,SIXTY-SECOND ST,,,1445
052 152601100,1811,,SIXTY-SECOND ST,,,1493
052 152601204,3347,,M L KING JR WAY,,,4349
052 152601302,3343,,M L KING JR WAY,,,0
052 152601404,3339,,M L KING JR WAY,,,9250
052 152601502,1800,,SIXTY-THIRD ST,,,0
052 152601605,1808,,SIXTY-THIRD ST,,,1393
052 152601607,3333,,M L KING JR WAY,,,3600
